case_id,age_group,scam_type,contact_method,source_platform,requires_user_action,payment_method,urgency_level,loss_bucket,transaction_amount,is_scam
1,30-49,Job,Classified Ads,Classifieds,1,Card,Medium,2k-5k,3721.57,1
2,20-29,Phishing,Classified Ads,Classifieds,1,E-wallet,Medium,2k-5k,2168.36,1
3,20-29,Job,Phone Call,Phone,1,E-wallet,High,5k-10k,5811.74,1
4,30-49,Phishing,Social Media,Facebook,1,Card,Medium,<2k,187.44,1
5,<20,Job,Messaging,WhatsApp,1,E-wallet,Medium,10k-50k,12426.74,1
6,65+,E-commerce,Online Shopping Platform,Carousell,1,Bank Transfer,Low,<2k,1208.47,1
7,20-29,Fake Friend Call,Phone Call,Phone,1,Bank Transfer,Medium,<2k,590.16,1
8,50-64,Investment,Messaging,WhatsApp,0,Bank Transfer,Low,100k+,132443.57,1
9,30-49,E-commerce,Messaging,Other Messaging,1,Bank Transfer,Low,5k-10k,5161.19,1
10,30-49,Job,Messaging,WhatsApp,0,Bank Transfer,Medium,2k-5k,2689.51,1
11,30-49,Job,Social Media,Facebook,1,E-wallet,Medium,50k-100k,76626.67,1
12,50-64,Phishing,Messaging,WhatsApp,0,Card,Medium,50k-100k,92815.19,1
13,50-64,Investment,Phone Call,Phone,1,Bank Transfer,High,10k-50k,26879.37,1
14,30-49,Phishing,Phone Call,Phone,0,Card,High,5k-10k,9523.5,1
15,30-49,Internet Love,Email,Email,1,Cash/Valuables,Low,10k-50k,19666.18,1
16,30-49,Investment,Phone Call,Phone,1,Bank Transfer,Medium,10k-50k,21704.83,1
17,30-49,Job,Messaging,WhatsApp,1,Bank Transfer,Medium,<2k,1122.86,1
18,20-29,Phishing,Social Media,Instagram,0,Card,High,10k-50k,23324.11,1
19,<20,Phishing,Social Media,Facebook,0,Card,Medium,<2k,64.0,1
20,30-49,E-commerce,Social Media,Facebook,1,Bank Transfer,Low,<2k,248.15,1
21,65+,Others,Messaging,WhatsApp,1,Card,Medium,<2k,175.92,1
22,30-49,E-commerce,Social Media,Facebook,1,Card,Medium,<2k,116.85,1
23,30-49,Job,Messaging,Telegram,1,Bank Transfer,Medium,2k-5k,2227.37,1
24,30-49,Others,Phone Call,Phone,1,Card,Medium,5k-10k,8739.82,1
25,30-49,Loan,Phone Call,Phone,1,Bank Transfer,Medium,<2k,1955.42,1
26,30-49,Others,Messaging,WhatsApp,1,Card,High,<2k,478.97,1
27,30-49,Phishing,Phone Call,Phone,0,Bank Transfer,High,50k-100k,83801.91,1
28,<20,Job,Messaging,WhatsApp,1,Crypto,Medium,2k-5k,2145.45,1
29,50-64,E-commerce,Phone Call,Phone,1,Bank Transfer,Medium,5k-10k,9302.16,1
30,50-64,Sexual Services,Phone Call,Phone,1,Bank Transfer,Medium,<2k,161.23,1
31,30-49,Phishing,Social Media,TikTok,0,Card,Medium,<2k,476.09,1
32,<20,E-commerce,Online Shopping Platform,Carousell,1,Bank Transfer,Low,2k-5k,2901.76,1
33,20-29,E-commerce,Online Shopping Platform,Facebook Marketplace,0,Card,Medium,<2k,296.99,1
34,20-29,Insurance Services,Messaging,WhatsApp,1,Bank Transfer,Medium,<2k,940.92,1
35,30-49,Others,Email,Email,1,Bank Transfer,Low,5k-10k,8566.52,1
36,20-29,Sexual Services,Messaging,WhatsApp,0,Bank Transfer,Low,2k-5k,2268.2,1
37,50-64,Phishing,Social Media,Facebook,1,Bank Transfer,Medium,<2k,599.34,1
38,<20,Sexual Services,Email,Email,1,E-wallet,Medium,<2k,554.87,1
39,65+,Phishing,Phone Call,Phone,0,Card,Low,<2k,177.61,1
40,30-49,E-commerce,Messaging,WhatsApp,1,Bank Transfer,Medium,<2k,666.74,1
41,20-29,E-commerce,Messaging,WhatsApp,1,E-wallet,Low,<2k,50.0,1
42,50-64,Job,Social Media,Facebook,1,Bank Transfer,Low,<2k,92.93,1
43,50-64,Government Impersonation,Social Media,Other Social,1,Bank Transfer,High,10k-50k,22888.18,1
44,30-49,Government Impersonation,Social Media,TikTok,1,Bank Transfer,Medium,50k-100k,50835.2,1
45,65+,Investment,Social Media,Instagram,1,Card,Medium,10k-50k,25048.16,1
46,20-29,Others,Social Media,Instagram,1,Crypto,High,2k-5k,2237.28,1
47,30-49,Job,Messaging,WhatsApp,1,Bank Transfer,Low,50k-100k,61848.95,1
48,30-49,E-commerce,Messaging,WhatsApp,0,Bank Transfer,Low,<2k,210.53,1
49,30-49,Phishing,Phone Call,Phone,0,Card,High,<2k,699.72,1
50,50-64,Government Impersonation,Messaging,WhatsApp,1,Bank Transfer,High,10k-50k,29429.88,1
51,50-64,Others,Phone Call,Phone,1,E-wallet,Low,<2k,505.36,1
52,50-64,Job,Online Shopping Platform,Carousell,1,Card,High,100k+,103572.85,1
53,30-49,Insurance Services,Phone Call,Phone,0,Card,Low,<2k,865.15,1
54,<20,Fake Friend Call,Social Media,Facebook,1,Bank Transfer,Medium,<2k,224.31,1
55,30-49,Job,Messaging,Telegram,0,Bank Transfer,Medium,<2k,1413.24,1
56,50-64,Phishing,Messaging,Telegram,0,Card,Medium,<2k,236.43,1
57,65+,Investment,Messaging,Telegram,1,Bank Transfer,Medium,10k-50k,10481.49,1
